"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.040512";"0.04012733467392482";"0.04090019565071468";"40512.0";"40127.33467392482";"40900.195650714675";"225445.14777600003";"223304.5244722549";"227605.41697627082"
"в";"0.028289";"0.02796584505385599";"0.02861577918217634";"28289.0";"27965.845053855992";"28615.779182176346";"157425.39952200002";"155627.0752085131";"159243.89233933476"
"не";"0.018051";"0.017791899064950618";"0.01831380383138113";"18051.0";"17791.89906495062";"18313.803831381134";"100451.973798";"99010.10352274557";"101914.4503136452"
"я";"0.01805";"0.0177909061638343";"0.01831279674018062";"18050.0";"17790.906163834297";"18312.79674018062";"100446.40890000001";"99004.57812930916";"101908.84595383766"
"он";"0.017071";"0.016818958319679653";"0.017326752106159173";"17071.0";"16818.958319679652";"17326.752106159172";"94998.373758";"93595.78751526866";"96421.60814206097"
"быть";"0.014666";"0.01443224214230193";"0.01490348676156191";"14666.0";"14432.242142301931";"14903.48676156191";"81614.794068";"80313.95543321173";"82936.38367244235"
"на";"0.014401";"0.014169350058697712";"0.014636380881206308";"14401.0";"14169.350058697712";"14636.38088120631";"80140.09609800001";"78850.98780294678";"81449.96669306324"
"что";"0.013884";"0.013656521577598597";"0.014115213334504563";"13884.0";"13656.521577598598";"14115.213334504564";"77263.04383200001";"75997.14961413528";"78549.72245475778"
"с";"0.012081";"0.011868741192338002";"0.012297007572521543";"12081.000000000002";"11868.741192338004";"12297.007572521545";"67229.53273800001";"66048.33412375937";"68431.59284631"
"она";"0.006943";"0.006782135005678848";"0.0071076532353106445";"6943.0";"6782.135005678849";"7107.653235310644";"38637.086814";"37741.88952883221";"39553.36527387374"
"свой";"0.006918";"0.0067574263077223385";"0.0070823621253464164";"6918.0";"6757.4263077223395";"7082.362125346417";"38497.964364";"37604.388144991426";"39412.622826616025"
