"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.042677";"0.042282583096108585";"0.04307493059446681";"42677.0";"42282.58309610858";"43074.93059446681";"396056.94214899995";"392396.62036239106";"399749.8721682624"
"в";"0.027369";"0.027051025006784662";"0.027690606297764514";"27368.999999999996";"27051.025006784657";"27690.60629776451";"253993.543353";"251042.62825838893";"256978.15817757702"
"не";"0.019564";"0.019294386959564643";"0.019837304312130166";"19564.0";"19294.386959564643";"19837.304312130167";"181560.513068";"179058.41319316524";"184096.8691881211"
"я";"0.017815";"0.017557580196289314";"0.018076124513270675";"17815.0";"17557.580196289313";"18076.124513270675";"165329.203655";"162940.26112609098";"167752.52713711283"
"он";"0.015611";"0.015369882956816537";"0.015855838686451195";"15611.0";"15369.882956816537";"15855.838686451194";"144875.34090699998";"142637.6934898139";"147147.52642790443"
"что";"0.014776";"0.014541373005930329";"0.01501435505278476";"14775.999999999998";"14541.373005930327";"15014.35505278476";"137126.259512";"134948.84193773643";"139338.27472749536"
"быть";"0.014166";"0.013936236349555525";"0.014399496395893559";"14165.999999999998";"13936.236349555522";"14399.496395893557";"131465.25394199998";"129332.96983552506";"133632.17918417763"
"на";"0.013777";"0.013550394993609783";"0.01400734074059262";"13776.999999999998";"13550.394993609783";"14007.340740592621";"127855.202849";"125752.23202381162";"129992.8425465291"
"с";"0.012047";"0.011835039153146296";"0.012262709872941042";"12047.0";"11835.039153146296";"12262.70987294104";"111800.219839";"109833.15174939223";"113802.08015412005"
"то";"0.007384";"0.007218081848018814";"0.007553703004692495";"7383.999999999999";"7218.081848018814";"7553.703004692494";"68526.008408";"66986.23204319738";"70100.90948145893"
"а";"0.007316";"0.0071508507663700545";"0.007484934608796847";"7315.999999999999";"7150.850766370055";"7484.934608796847";"67894.945492";"66362.30494862238";"69462.7155925979"
"она";"0.007031";"0.006869113858045967";"0.007196673706824523";"7030.999999999999";"6869.113858045967";"7196.673706824522";"65250.049447";"63747.691494036735";"66787.55727837076"
"как";"0.006956";"0.006794983740156997";"0.007120804400951279";"6955.999999999999";"6794.983740156998";"7120.804400951278";"64554.024172";"63059.739018177366";"66083.46455191098"
"к";"0.006556";"0.006399706130684568";"0.006716085083691902";"6555.999999999999";"6399.706130684568";"6716.085083691901";"60841.889372";"59391.42959371883";"62327.53289733405"
"этот";"0.006122";"0.005970999249023342";"0.006276795299849119";"6122.0";"5970.999249023342";"6276.795299849117";"56814.22311399999";"55412.885257683534";"58250.775662615866"
"свой";"0.00596";"0.005811023807542538";"0.0061127719860035405";"5960.0";"5811.023807542539";"6112.7719860035395";"55310.80852";"53928.259249017894";"56728.584034272135"
"но";"0.005919";"0.0057705406221174645";"0.006071255486438604";"5919.0";"5770.540622117464";"6071.255486438603";"54930.314703";"53552.56164543972";"56343.29692724917"
"который";"0.005715";"0.005569139593361866";"0.005864658082560982";"5715.0";"5569.139593361866";"5864.658082560982";"53037.125954999996";"51683.49222644108";"54426.00339593974"
"они";"0.005638";"0.005493132817242081";"0.005786665450284894";"5638.0";"5493.13281724208";"5786.665450284893";"52322.540005999996";"50978.12372976592";"53702.20548490056"
"вы";"0.005474";"0.005331271499391812";"0.0056205280281751225";"5474.0";"5331.271499391812";"5620.528028175122";"50800.564737999994";"49475.9961528513";"52160.39421941063"
"по";"0.005473";"0.00533028463928735";"0.0056195148959627544";"5473.0";"5330.284639287349";"5619.514895962754";"50791.284401";"49466.837758510046";"52150.992011054295"
"мы";"0.005312";"0.005171416306513082";"0.00545638446572747";"5312.0";"5171.4163065130815";"5456.384465727469";"49297.150144";"47992.4860917367";"50637.086643515875"
"весь";"0.005066";"0.00492873777957981";"0.005207064882720681";"5066.0";"4928.73777957981";"5207.064882720681";"47014.187242";"45740.34757913235";"48323.316892513394"
"это";"0.005014";"0.004877450290332847";"0.005154352771492509";"5014.0";"4877.4502903328475";"5154.3527714925085";"46531.609718";"45264.382395036664";"47834.13073633447"
"от";"0.004478";"0.00434902498578184";"0.004610782194222897";"4478.0";"4349.02498578184";"4610.7821942228975";"41557.349085999995";"40360.41748947568";"42789.612595987935"
"из";"0.004477";"0.004348039535090248";"0.004609767652597659";"4477.0";"4348.039535090247";"4609.767652597658";"41548.068749";"40351.272174960824";"42780.197307805196"
"так";"0.004229";"0.004103700039238765";"0.004358109053875422";"4229.0";"4103.700039238765";"4358.109053875422";"39246.545173";"38083.71931104896";"40444.72070271507"
"у";"0.004135";"0.004011115800980567";"0.004262694014351647";"4135.0";"4011.1158009805667";"4262.694014351647";"38374.193495";"37224.506379124585";"39559.23698106612"
"за";"0.004093";"0.003969753636919548";"0.004220056501105825";"4093.0";"3969.7536369195477";"4220.056501105825";"37984.419341";"36840.651557589044";"39163.54648930293"
"же";"0.004073";"0.003950058532151559";"0.004199751759537224";"4073.0";"3950.058532151559";"4199.751759537224";"37798.812601";"36657.8743480918";"38975.111644848395"
"его";"0.003724";"0.003606506225450038";"0.003845306747665244";"3724.0";"3606.5062254500376";"3845.306747665244";"34559.974987999994";"33469.59316477433";"35685.74248670742"
