"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.042404";"0.042010796985356924";"0.042800718802724014";"42404.0";"42010.79698535693";"42800.71880272402";"765198.456124";"758102.9382542664";"772357.4179049588"
"в";"0.028747";"0.028421300540867122";"0.029076320176273127";"28747.0";"28421.300540867123";"29076.320176273126";"518752.004957";"512874.61784048035";"524694.7294748445"
"не";"0.017564";"0.017308381123201915";"0.01782332551483386";"17564.0";"17308.381123201918";"17823.32551483386";"316949.950084";"312337.19728044263";"321629.5907684739"
"он";"0.017014";"0.01676237540022021";"0.01726933546355933";"17014.0";"16762.37540022021";"17269.33546355933";"307024.963034";"302484.2886807712";"311632.6015235129"
"на";"0.014806";"0.014571136556088061";"0.015044591272131912";"14806.0";"14571.13655608806";"15044.591272131913";"267180.651386";"262942.43931446475";"271486.1337244587"
"быть";"0.014299";"0.014068166800950537";"0.014533564922636874";"14299.0";"14068.166800950536";"14533.564922636873";"258031.617869";"253866.13330304367";"262264.442995464"
"я";"0.013667";"0.013441296590523896";"0.01389643998882726";"13667.0";"13441.296590523896";"13896.439988827262";"246626.90547700002";"242553.99017483424";"250767.2489640231"
"что";"0.013414";"0.013190384713532888";"0.0136413538096604";"13414.0";"13190.384713532889";"13641.353809660399";"242061.411434";"238026.17721151252";"246164.10891881387"
"с";"0.011823";"0.011613013178322503";"0.012036737568795025";"11823.0";"11613.013178322504";"12036.737568795028";"213351.13071300002";"209561.8280115094";"217208.11726279842"
"она";"0.007666";"0.007496931087211512";"0.00783885159884572";"7666.0";"7496.931087211512";"7838.851598845721";"138336.274046";"135285.35264603034";"141455.45564621012"
"как";"0.007062";"0.006899755690892634";"0.007228031635799571";"7062.0";"6899.755690892634";"7228.031635799572";"127436.83372200001";"124509.06523686036";"130432.9461496383"
"а";"0.006968";"0.006806844238452222";"0.007132943810458008";"6968.0";"6806.844238452221";"7132.943810458009";"125740.563208";"122832.43803273712";"128717.04535849707"
"то";"0.0069";"0.006739636377968633";"0.00706415219339719";"6900.0";"6739.6363779686335";"7064.152193397192";"124513.47390000001";"121619.6432237229";"127475.67097944766"
"этот";"0.006705";"0.006546930307549385";"0.006866859762034683";"6705.0";"6546.930307549384";"6866.859762034683";"120994.614855";"118142.1791266912";"123915.4440224733"
"к";"0.006361";"0.006207061570586952";"0.006518731142007762";"6361.0";"6207.061570586951";"6518.731142007762";"114786.98659100001";"112009.10128477846";"117633.31303065228"
"свой";"0.005922";"0.00577350274477736";"0.006074293340729197";"5922.0";"5773.50274477736";"6074.293340729198";"106865.042382";"104185.34540919047";"109613.24135388822"
"но";"0.005581";"0.005436872510110068";"0.005728926195357625";"5581.0";"5436.872510110067";"5728.926195357624";"100711.550411";"98110.70773698803";"103380.94236241853"
"по";"0.005439";"0.005296732123750186";"0.005585067672727715";"5439.0";"5296.7321237501865";"5585.067672727716";"98149.099209";"95581.81406461744";"100784.95331853857"
"это";"0.005307";"0.0051664830290805265";"0.0054513177815758785";"5307.0";"5166.483029080527";"5451.317781575878";"95767.102317";"93231.41301394365";"98371.37888650058"
"они";"0.005307";"0.0051664830290805265";"0.0054513177815758785";"5307.0";"5166.483029080527";"5451.317781575878";"95767.102317";"93231.41301394365";"98371.37888650058"
"который";"0.004981";"0.004844904406710524";"0.005120898908659458";"4981.0";"4844.904406710525";"5120.898908659458";"89884.291811";"87428.3881728907";"92408.82791418956"
"весь";"0.004858";"0.004723610614822071";"0.0049961936455778806";"4858.0";"4723.6106148220715";"4996.193645577881";"87664.703798";"85239.58942063927";"90158.4676939141"
"из";"0.004482";"0.004352966804999819";"0.004614840344272235";"4482.0";"4352.966804999819";"4614.840344272235";"80879.621742";"78551.1621249147";"83276.78300858085"
"у";"0.004208";"0.004083014933638428";"0.004336794320822339";"4208.0";"4083.014933638428";"4336.79432082234";"75935.173648";"73679.76425694184";"78259.32267759138"
"за";"0.004145";"0.004020964419101964";"0.004272845319398544";"4145.0";"4020.9644191019647";"4272.845319398544";"74798.311495";"72560.03597835958";"77105.33538487939"
"так";"0.004143";"0.004018994680680471";"0.004270815073186379";"4143.0";"4018.994680680471";"4270.815073186379";"74762.220633";"72524.49119958648";"77068.69871694475"
"же";"0.004141";"0.004017024949652247";"0.0042687848195809425";"4141.0";"4017.0249496522465";"4268.784819580944";"74726.129771";"72488.9465542281";"77032.06191559536"
"мы";"0.004131";"0.004007176405597081";"0.004258633440467813";"4131.0";"4007.1764055970816";"4258.633440467813";"74545.675461";"72311.22533203015";"76848.87590425453"
"его";"0.00397";"0.003848640876440429";"0.004095170206614913";"3970.0";"3848.6408764404287";"4095.170206614914";"71640.36107";"69450.38337958528";"73899.11139672516"
"от";"0.003857";"0.003737400922747549";"0.003980411028506058";"3857.0";"3737.400922747549";"3980.4110285060583";"69601.227367";"67443.01047077723";"71828.2325665451"
"вы";"0.003698";"0.0035809222058021148";"0.0038188909670756";"3698.0";"3580.9222058021146";"3818.8909670755993";"66732.003838";"64619.284581169864";"68913.53344288601"
"все";"0.003632";"0.003515984841787606";"0.00375182883817936";"3632.0";"3515.9848417876065";"3751.82883817936";"65541.005392";"63447.46185952416";"67703.36842317581"
"о";"0.003582";"0.00346679638016138";"0.00370101768396411";"3582.0";"3466.7963801613805";"3701.017683964111";"64638.733842";"62559.83486925196";"66786.45924575416"
"тот";"0.003248";"0.0031383709504962535";"0.0033614456798081787";"3248.0";"3138.3709504962535";"3361.4456798081787";"58611.559888";"56633.25643958456";"60658.73607522658"
"человек";"0.003229";"0.0031196965783810413";"0.00334212019790363";"3229.0";"3119.6965783810415";"3342.1201979036296";"58268.696699";"56296.26934611118";"60309.999424976304"
"один";"0.003189";"0.003080385286248458";"0.003301431797363033";"3189.0";"3080.3852862484578";"3301.4317973630327";"57546.879459";"55586.8801364118";"59575.75970052059"
