"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.036583";"0.0362168147308155";"0.036952745781000836";"36583.0";"36216.814730815495";"36952.74578100083";"1510015.63869";"1494900.8180594745";"1525277.4245372762"
"в";"0.03055";"0.030214493010761807";"0.03088911385362206";"30550.0";"30214.493010761806";"30889.113853622057";"1260994.9364999998";"1247146.405744199";"1274992.3457410613"
"не";"0.019167";"0.018900102341044143";"0.01943759198086935";"19167.0";"18900.10234104414";"19437.59198086935";"791145.33381";"780128.7512729446";"802314.404766915"
"на";"0.015654";"0.015412553719154827";"0.015899167593736576";"15654.0";"15412.553719154826";"15899.167593736576";"646141.2352199999";"636175.1947099338";"656260.8782411362"
"я";"0.014629";"0.01439553525330891";"0.01486619393483224";"14629.0";"14395.535253308908";"14866.19393483224";"603832.8944699999";"594196.3031957374";"613623.4133175275"
"он";"0.013076";"0.012855206628186261";"0.013300534491918651";"13076.0";"12855.206628186259";"13300.53449191865";"539730.5986799999";"530617.0365238662";"548998.5809182657"
"быть";"0.012937";"0.012717378117543185";"0.013160364070522425";"12937.0";"12717.378117543183";"13160.364070522426";"533993.17491";"524927.967652303";"543212.846331434"
"что";"0.012761";"0.012542870867725564";"0.01298287267257805";"12761.0";"12542.870867725562";"12982.87267257805";"526728.5232299999";"517724.93137071346";"535886.6350685809"
"с";"0.011395";"0.01118883958733486";"0.011604914448179637";"11395.0";"11188.83958733486";"11604.914448179637";"470344.91984999995";"461835.3540078562";"479009.4388762754"
"а";"0.008304";"0.008128014807941489";"0.008483762976252975";"8304.0";"8128.014807941489";"8483.762976252974";"342759.47472";"335495.4342589603";"350179.4486258975"
"как";"0.007038";"0.006876032911237272";"0.0072037545998510245";"7038.0";"6876.032911237272";"7203.754599851023";"290503.51434";"283818.09113838145";"297345.2724779288"
"она";"0.006449";"0.00629399411221228";"0.006607797924263432";"6449.0";"6293.99411221228";"6607.797924263431";"266191.69707";"259793.6073931423";"272746.30847500486"
"это";"0.006225";"0.006072726186167223";"0.0063810675713386784";"6225.0";"6072.726186167222";"6381.067571338678";"256945.77675";"250660.45733249834";"263387.68893363094"
"но";"0.00582";"0.0056727960990956205";"0.005971000770094327";"5820.0";"5672.796099095621";"5971.000770094327";"240228.82259999998";"234152.77108859344";"246461.59531674456"
"то";"0.005719";"0.005573088183774658";"0.005868709461415507";"5719.0";"5573.088183774657";"5868.709461415506";"236059.90316999998";"230037.1843014018";"242239.37527445485"
"к";"0.005536";"0.005392459194547629";"0.0056833398566627355";"5536.0";"5392.4591945476295";"5683.339856662736";"228506.31647999998";"222581.4644716016";"234587.97975974943"
"по";"0.005395";"0.005253313336123328";"0.005540486798414075";"5395.0";"5253.313336123327";"5540.486798414076";"222686.33985";"216838.02018656099";"228691.5155006627"
"этот";"0.005318";"0.005177336281517767";"0.005462464444623763";"5318.0";"5177.336281517766";"5462.464444623763";"219508.05474";"213701.95861052838";"225471.03127600162"
"мы";"0.00528";"0.0051398438838507875";"0.005423957134251221";"5280.0";"5139.843883850786";"5423.957134251222";"217939.55039999998";"212154.40628269513";"223881.58697492114"
"они";"0.005169";"0.005030337334051889";"0.005311464536882043";"5169.0";"5030.337334051887";"5311.464536882043";"213357.86667";"207634.36684537938";"219238.29415409404"
"у";"0.004584";"0.0044534919845933656";"0.004718314380995299";"4584.0";"4453.4919845933655";"4718.314380995299";"189211.15511999998";"183824.2501576291";"194755.17326514577"
"из";"0.004522";"0.004392386437726669";"0.004655420404218567";"4522.0";"4392.386437726669";"4655.420404218567";"186652.01645999998";"181302.0313297742";"192159.13443529935"
"свой";"0.004177";"0.004052481235003521";"0.004305328257635531";"4177.0";"4052.4812350035213";"4305.3282576355305";"172411.64810999998";"167271.9580229364";"177708.58045331493"
"который";"0.004113";"0.003989449494548939";"0.004240360489813024";"4113.0";"3989.449494548939";"4240.360489813023";"169769.95659";"164670.23280028466";"175026.94293253295"
"все";"0.004009";"0.003887039320951115";"0.004134771462460579";"4009.0";"3887.0393209511153";"4134.771462460579";"165477.20786999998";"160443.10643848623";"170668.6048362517"
