"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.039761";"0.03937978620431802";"0.04014574989038251";"39761.0";"39379.78620431803";"40145.7498903825";"1171493.969073";"1160262.1171938002";"1182830.0063000468"
"в";"0.030017";"0.029684358506790843";"0.030353252452722895";"30017.0";"29684.358506790843";"30353.252452722896";"884402.667681";"874601.9206384717";"894309.8058427887"
"не";"0.016372";"0.016125124752620266";"0.01662259104375473";"16372.0";"16125.124752620266";"16622.59104375473";"482374.670196";"475100.88776047865";"489757.93260042585"
"на";"0.015738";"0.015495911921767998";"0.015983808745737082";"15738.0";"15495.911921767998";"15983.808745737082";"463694.879034";"456562.14284443576";"470937.23871248873"
"он";"0.013926";"0.013698179700585166";"0.014157554888824834";"13926.0";"13698.179700585166";"14157.554888824834";"410307.210918";"403594.85190296307";"417129.6036085174"
"я";"0.013529";"0.013304433047184747";"0.013757304592443936";"13529.0";"13304.433047184746";"13757.304592443936";"398610.243897";"391993.73951139173";"405336.8718278805"
"быть";"0.013513";"0.01328856520004894";"0.01374117256251047";"13513.0";"13288.565200048939";"13741.17256251047";"398138.829609";"391526.2188951655";"404861.567490063"
"с";"0.011808";"0.01159814605694424";"0.012021604805420848";"11808.0";"11598.146056944239";"12021.604805420846";"347903.744544";"341720.7353471485";"354197.266872803"
"что";"0.011445";"0.011238388783077273";"0.011655364868278699";"11445.0";"11238.388783077273";"11655.364868278699";"337208.532885";"331121.0654025974";"343406.59567248856"
"а";"0.006886";"0.006725799959341969";"0.007049988719588241";"6886.0";"6725.79995934197";"7049.988719588241";"202884.924198";"198164.88744147646";"207716.58829079513"
"как";"0.006868";"0.00670801052780992";"0.007031778289417358";"6868.0";"6708.01052780992";"7031.778289417358";"202354.583124";"197640.7504290011";"207180.04722997136"
"к";"0.006415";"0.006260405654160474";"0.006573386643543034";"6415.0";"6260.405654160473";"6573.386643543034";"189007.666095";"184452.79212795213";"193674.27401965932"
"этот";"0.005811";"0.005663910770184529";"0.005961886168153951";"5811.0";"5663.910770184529";"5961.88616815395";"171211.776723";"166878.0289388795";"175657.39519358394"
"она";"0.005532";"0.00538851146137006";"0.005679287620572986";"5532.0";"5388.51146137006";"5679.287620572986";"162991.490076";"158763.8308713504";"167331.08312497678"
"по";"0.005434";"0.005291798050021084";"0.005580001784872669";"5434.0";"5291.798050021083";"5580.001784872668";"160104.077562";"155914.32562440485";"164405.78552840487"
"то";"0.005397";"0.005255286865256022";"0.00554251325391504";"5397.0";"5255.286865256022";"5542.51325391504";"159013.932021";"154838.58223877623";"163301.24620780762"
"но";"0.005256";"0.005116165431067021";"0.005399635771431079";"5256.0";"5116.165431067021";"5399.635771431079";"154859.593608";"150739.59274854205";"159091.59079053203"
"это";"0.005144";"0.005005675936628479";"0.0052861261263847156";"5144.0";"5005.67593662848";"5286.1261263847155";"151559.693592";"147484.19735152795";"155747.21150924053"
"мы";"0.005042";"0.004905066167277153";"0.005182736679419432";"5042.0";"4905.066167277153";"5182.736679419431";"148554.427506";"144519.8921774905";"152701.00760124973"
"они";"0.00499";"0.004853780405797178";"0.005130022840424271";"4990.0";"4853.780405797179";"5130.022840424271";"147022.33107";"143008.83963170173";"151147.87904639659"
"весь";"0.004617";"0.004486018403757623";"0.004751787708286417";"4617.0";"4486.018403757624";"4751.787708286417";"136032.485481";"132173.32323514353";"140003.78870181207"
"свой";"0.004607";"0.004476161731445595";"0.004741644457430148";"4607.0";"4476.161731445594";"4741.644457430149";"135737.851551";"131882.91222514203";"139704.93411553625"
"из";"0.004458";"0.004329316285366708";"0.004590491048301439";"4458.0";"4329.316285366708";"4590.491048301439";"131347.805994";"127556.34713705948";"135251.44181908728"
"у";"0.004342";"0.0042150190338124316";"0.004472789191103491";"4342.0";"4215.019033812431";"4472.78919110349";"127930.052406";"124188.76229569595";"131783.54574363425"
"за";"0.004144";"0.004019979548967391";"0.004271830197216287";"4144.0";"4019.9795489673916";"4271.830197216286";"122096.300592";"118442.237303189";"125862.61192985094"
"который";"0.003988";"0.003866362865777744";"0.00411344807898053";"3988.0";"3866.3628657777435";"4113.44807898053";"117500.011284";"113916.16859501592";"121196.1373360984"
"от";"0.003889";"0.0037688998859857063";"0.0040129118194064456";"3889.0";"3768.8998859857056";"4012.911819406446";"114583.135377";"111044.57851845205";"118233.99800951712"
"все";"0.003664";"0.003547468416596928";"0.0037843450175085824";"3664.0";"3547.468416596929";"3784.3450175085823";"107953.871952";"104520.45611328303";"111499.64449844723"
"же";"0.00366";"0.003543532844776694";"0.003780280620061499";"3660.0";"3543.532844776694";"3780.2806200614996";"107836.01838";"104404.50081406374";"111379.89355915564"
"о";"0.003636";"0.0035199201632595597";"0.0037558934859747246";"3636.0";"3519.9201632595596";"3755.8934859747246";"107128.896948";"103708.79109874056";"110661.3658434133"
"так";"0.003559";"0.003444171609032641";"0.0036776426318057705";"3559.0";"3444.171609032641";"3677.64263180577";"104860.215687";"101476.98167637104";"108355.83017444772"
"вы";"0.003119";"0.003011601096583915";"0.00323021652484951";"3119.0";"3011.6010965839155";"3230.2165248495094";"91896.322767";"88731.98666788284";"95173.13894673537"
"его";"0.003062";"0.0029556013185030768";"0.003172216740871066";"3062.0";"2955.6013185030765";"3172.216740871066";"90216.90936599999";"87082.04319837432";"93464.26851746338"
"тот";"0.002895";"0.002791587120473053";"0.0030022322219905606";"2895.0";"2791.587120473053";"3002.232221990561";"85296.522735";"82249.6284242359";"88455.94783377112"
"для";"0.002852";"0.002749369884725698";"0.0029584497881142468";"2852.0";"2749.369884725698";"2958.4497881142465";"84029.596836";"81005.76541603793";"87165.96877797677"
"один";"0.002831";"0.0027287543268226704";"0.002937065507363854";"2831.0";"2728.7543268226705";"2937.065507363854";"83410.865583";"80398.36113162678";"86535.91531020563"
"только";"0.002783";"0.0026816384848803057";"0.0028881817180984024";"2783.0";"2681.6384848803054";"2888.1817180984026";"81996.622719";"79010.168563953";"85095.63301574845"
